id,source,query,title,company,city,salary_from,salary_to,currency,experience,published_at,url,snippet_requirement,snippet_responsibility,description,job_type,category,tags,role
5747781982,adzuna_gb,Data Analyst,Data Analyst Trainee,ITOL Recruit,UK,30000.0,50000.0,GBP,,2026-06-01T17:30:25Z,https://www.adzuna.co.uk/jobs/land/ad/5747781982?se=gko2N6pp8RGHcblSVmFK6Q&utm_medium=api&utm_source=857d8b08&v=7E3623323FF6852F5F6A44DA8ED5C7940BACA92A,,,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",permanent,IT Jobs,,Data Analyst
5761551053,adzuna_gb,Data Analyst,Data Analyst,MCS Group,"Belfast, Northern Ireland",45000.0,45000.0,GBP,,2026-06-12T20:16:55Z,https://www.adzuna.co.uk/jobs/land/ad/5761551053?se=gko2N6pp8RGHcblSVmFK6Q&utm_medium=api&utm_source=857d8b08&v=5B6D717BC932F4951D80EE2D9EAAA94A518D0C27,,,"Data Analyst Belfast - Hybrid (3 Days Office / 2 Days Home) Competitive Salary  Bonus  Excellent Benefits The Opportunity MCS Group are delighted to be partnering with a leading organisation operating within Northern Ireland's energy sector as they seek to appoint a Data Analyst to join their team. This is an exciting opportunity to join an organisation at the heart of Northern Ireland's energy transition. Significant investment is taking place across the organisation, creating a range of innov…",,IT Jobs,,Data Analyst
5753302767,adzuna_gb,Data Analyst,Data Analyst,MCS Group,"Belfast, Northern Ireland",45000.0,45000.0,GBP,,2026-06-05T15:55:57Z,https://www.adzuna.co.uk/jobs/land/ad/5753302767?se=gko2N6pp8RGHcblSVmFK6Q&utm_medium=api&utm_source=857d8b08&v=F9B318818793890B4723FC3B73634CE9EC34B1DE,,,"Data Analyst Belfast - Hybrid (3 Days Office / 2 Days Home) Competitive Salary  Bonus  Excellent Benefits The Opportunity MCS Group are delighted to be partnering with a leading organisation operating within Northern Ireland's energy sector as they seek to appoint a Data Analyst to join their team. This is an exciting opportunity to join an organisation at the heart of Northern Ireland's energy transition. Significant investment is taking place across the organisation, creating a range of innov…",,IT Jobs,,Data Analyst
5760620639,adzuna_gb,Data Analyst,Data Analyst,Pertemps Leicester,"Leicester, Leicestershire",65000.0,104000.0,GBP,,2026-06-11T23:50:15Z,https://www.adzuna.co.uk/jobs/land/ad/5760620639?se=gko2N6pp8RGHcblSVmFK6Q&utm_medium=api&utm_source=857d8b08&v=05C0B554B10841E4507B7A236EB4AE25069ED8CE,,,"Data Analyst Leicester (Hybrid working available) 3 Month Contract Full Time Hours, Monday to Friday Up to £400 per day We’re recruiting for an experienced Data Analyst to join a fast-paced Leicester based company on a 3-month contract. This Data Analyst role is ideal for someone who enjoys working with high-volume data, identifying trends, and turning insight into meaningful operational improvements.This Data Analyst position will focus on real-time monitoring, forecasting and analysing custom…",contract,IT Jobs,,Data Analyst
5753358662,adzuna_gb,Data Analyst,Data Analyst,Robert Half,"Gloucestershire, South West England",42022.07,42022.07,GBP,,2026-06-05T19:28:04Z,https://www.adzuna.co.uk/jobs/land/ad/5753358662?se=gko2N6pp8RGHcblSVmFK6Q&utm_medium=api&utm_source=857d8b08&v=74F8E2EBEB0D0FBC80613E47CCDD3BF5653C7313,,,"Contract Data Analyst Role: Data Analyst Rate: Competitive Location: Gloucestershire Contract Length: Initially 3 months Working Pattern: Full-time, 5 days per week (Hybrid - 1-2 days per week on-site) My client is seeking an experienced Data Analyst to join their team on an initial three-month contract. This role will support the day-to-day running of the data function, delivering management reporting, business analysis and data-driven insights across the organisation. The successful candidate…",contract,IT Jobs,,Data Analyst
5757412884,adzuna_gb,Data Analyst,Data Analyst,Morgan McKinley,"Manchester, Greater Manchester",140400.0,140400.0,GBP,,2026-06-09T17:38:53Z,https://www.adzuna.co.uk/jobs/land/ad/5757412884?se=gko2N6pp8RGHcblSVmFK6Q&utm_medium=api&utm_source=857d8b08&v=6F23177B45C9EA45CBE7BD25B868DE6C249984A9,,,"Data Analyst Location: Manchester (Hybrid: 1 day per week onsite, typically Wednesdays) Duration: August 2026 - April 2027 (Maternity Cover) Rate: £540/day / £72/hour (Inside IR35 / Paid via an Umbrella Company) About the Business We are a global leader in the travel technology sector, dedicated to making it easier for millions of customers to experience the world. This role sits within our Trips & Ground Transportation Business Unit, a high-velocity, tech-first division focused on creating a s…",contract,IT Jobs,,Data Analyst
5759993025,adzuna_gb,Data Analyst,Data Analyst,Robert Half,"Leeds, West Yorkshire",35000.0,45000.0,GBP,,2026-06-11T13:45:14Z,https://www.adzuna.co.uk/jobs/land/ad/5759993025?se=gko2N6pp8RGHcblSVmFK6Q&utm_medium=api&utm_source=857d8b08&v=B98A6BB6D62D4ACB8936DBE930B193124C676D0C,,,"Robert Half has partnered exclusively with a growing professional services organisation seeking a talented Data Analyst to join their expanding data and technology team. This is an excellent opportunity for an analytical professional with experience in Power BI, SQL, and data modelling to play a key role in driving business intelligence and data-driven decision-making. Please note this role is 5 days a week onsite in Leeds city centre during probation. After probation you have the option to wor…",permanent,IT Jobs,,Data Analyst
5759991021,adzuna_gb,Data Analyst,Data Analyst,Robert Half,"Shrewsbury, Shropshire",30000.0,40000.0,GBP,,2026-06-11T13:43:23Z,https://www.adzuna.co.uk/jobs/land/ad/5759991021?se=gko2N6pp8RGHcblSVmFK6Q&utm_medium=api&utm_source=857d8b08&v=8AD45962C81581C233FF2E2DA8F33BE1ED8FA2B7,,,"Robert Half is excited to be exclusively partnering with a well-established organisation in Shrewsbury to recruit for a newly created Data and AI Analyst role. This permanent position offers a salary of up to £40,000 and hybrid working , with 2-3 days per week in the Tetbury office. This is a key role supporting the business during a pivotal stage of its digital modernisation journey . You will be responsible for enabling commercial and operational decision-making through insightful data analys…",permanent,IT Jobs,,Data Analyst
5756534976,adzuna_gb,Data Analyst,Master Data Analyst,MCS Group,"Belfast, Northern Ireland",40000.0,40000.0,GBP,,2026-06-08T21:05:30Z,https://www.adzuna.co.uk/jobs/land/ad/5756534976?se=gko2N6pp8RGHcblSVmFK6Q&utm_medium=api&utm_source=857d8b08&v=0C69925DCCF505F98D67247FE23FAE48F28BD15F,,,"Master Data Analyst - Belfast (Exclusive) MCS Group are delighted to be exclusively partnering with a global manufacturing organisation to recruit a Master Data Analyst to join their growing finance function in Belfast. The Company: Our client is a global, high-growth manufacturing business operating across the Americas, EMEA and APAC regions. The company is at the forefront of technological innovation and sustainability, supporting industries focused on energy efficiency and the transition to …",,Accounting & Finance Jobs,,Data Analyst
5734745778,adzuna_gb,Data Analyst,Data Analyst,Barchester Healthcare,UK,34000.0,34000.0,GBP,,2026-05-20T04:50:07Z,https://www.adzuna.co.uk/jobs/details/5734745778?utm_medium=api&utm_source=857d8b08,,,"Learning & Development Data Analyst At Barchester Healthcare, we are committed to developing our people and creating a culture of continuous learning across our organisation. We are looking for a Learning & Development Data Analyst to join our L&D team and play a key role in ensuring the accuracy, integrity, and effectiveness of our learning data and reporting. This is an exciting opportunity for someone with strong analytical skills and a passion for data to help shape reporting processes, ide…",permanent,IT Jobs,,Data Analyst
